State,Sector,Consumption
 Andhra Pradesh,Industrial  Power at high  voltage,14410.99
 Arunachal Pradesh,Industrial  Power at high  voltage,71.47
 Assam,Industrial  Power at high  voltage,859.04
 Bihar,Industrial  Power at high  voltage,1269.14
 Chhattisgarh,Industrial  Power at high  voltage,5205.3
 Goa,Industrial  Power at high  voltage,1487.71
 Gujarat,Industrial  Power at high  voltage,13841.47
 Haryana,Industrial  Power at high  voltage,4325.45
 Himachal Pradesh,Industrial  Power at high  voltage,2050.39
 Jharkhand ,Industrial  Power at high  voltage,9363.42
 Karnataka,Industrial  Power at high  voltage,7531.48
 Kerala,Industrial  Power at high  voltage,2306.43
 Madhya Pradesh,Industrial  Power at high  voltage,4681.44
 Maharashtra,Industrial  Power at high  voltage,22588.0
 Manipur,Industrial  Power at high  voltage,1.34
 Meghalaya,Industrial  Power at high  voltage,523.58
 Orissa,Industrial  Power at high  voltage,6335.2
 Punjab,Industrial  Power at high  voltage,8453.09
 Rajasthan ,Industrial  Power at high  voltage,3702.76
 Tamil Nadu,Industrial  Power at high  voltage,15751.92
 Tripura,Industrial  Power at high  voltage,53.99
 Uttara Khand,Industrial  Power at high  voltage,2131.45
 Uttar Pradesh,Industrial  Power at high  voltage,8169.01
 West Bengal ,Industrial  Power at high  voltage,10065.06
 Chandigarh,Industrial  Power at high  voltage,135.85
 D. & N.Haveli,Industrial  Power at high  voltage,2570.82
 Daman & Diu,Industrial  Power at high  voltage,1090.83
 Delhi,Industrial  Power at high  voltage,246.0
 Puducherry ,Industrial  Power at high  voltage,1160.88
 Andhra Pradesh,Public lighting              ,1619.03
 Arunachal Pradesh,Public lighting              ,17.0
 Assam,Public lighting              ,6.69
 Bihar,Public lighting              ,22.91
 Chhattisgarh,Public lighting              ,59.56
 Goa,Public lighting              ,36.28
 Gujarat,Public lighting              ,239.45
 Haryana,Public lighting              ,54.61
 Himachal Pradesh,Public lighting              ,13.01
 Jammu & Kashmir,Public lighting              ,11.42
 Jharkhand ,Public lighting              ,89.09
 Karnataka,Public lighting              ,616.23
 Kerala,Public lighting              ,254.55
 Madhya Pradesh,Public lighting              ,196.1
 Maharashtra,Public lighting              ,782.15
 Manipur,Public lighting              ,3.2
 Meghalaya,Public lighting              ,1.49
 Mizoram,Public lighting              ,4.12
 Nagaland,Public lighting              ,4.86
 Orissa,Public lighting              ,53.9
 Punjab,Public lighting              ,135.26
 Rajasthan ,Public lighting              ,195.9
 Sikkim ,Public lighting              ,1.95
 Tamil Nadu,Public lighting              ,456.0
 Tripura,Public lighting              ,13.41
 Uttara Khand,Public lighting              ,45.23
 Uttar Pradesh,Public lighting              ,579.43
 West Bengal ,Public lighting              ,248.66
 A. & N. Islands,Public lighting              ,8.62
 Chandigarh,Public lighting              ,13.58
 D. & N.Haveli,Public lighting              ,7.38
 Daman & Diu,Public lighting              ,4.33
 Delhi,Public lighting              ,290.15
 Lakshadweep,Public lighting              ,1.3
 Puducherry ,Public lighting              ,14.55
 Andhra Pradesh,Traction,1414.35
 Bihar,Traction,399.76
 Chhattisgarh,Traction,711.06
 Gujarat,Traction,623.8
 Haryana,Traction,449.36
 Jharkhand ,Traction,964.6
 Karnataka,Traction,81.41
 Kerala,Traction,142.17
 Madhya Pradesh,Traction,1442.62
 Maharashtra,Traction,2109.88
 Orissa,Traction,624.84
 Punjab,Traction,123.41
 Rajasthan ,Traction,302.27
 Tamil Nadu,Traction,518.57
 Uttara Khand,Traction,9.48
 Uttar Pradesh,Traction,613.64
 West Bengal ,Traction,992.46
 Delhi,Traction,284.68
 Andhra Pradesh,Agriculture,16604.57
 Assam,Agriculture,20.86
 Bihar,Agriculture,798.0
 Chhattisgarh,Agriculture,2049.93
 Goa,Agriculture,40.18
 Gujarat,Agriculture,11729.71
 Haryana,Agriculture,7365.4
 Himachal Pradesh,Agriculture,28.74
 Jammu & Kashmir,Agriculture,271.42
 Jharkhand ,Agriculture,69.62
 Karnataka,Agriculture,11314.43
 Kerala,Agriculture,234.98
 Madhya Pradesh,Agriculture,6217.5
 Maharashtra,Agriculture,13066.12
 Manipur,Agriculture,0.12
 Meghalaya,Agriculture,0.5
 Nagaland,Agriculture,0.04
 Orissa,Agriculture,141.49
 Punjab,Agriculture,9325.42
 Rajasthan ,Agriculture,9790.86
 Tamil Nadu,Agriculture,10529.0
 Tripura,Agriculture,33.39
 Uttara Khand,Agriculture,300.2
 Uttar Pradesh,Agriculture,6860.36
 West Bengal ,Agriculture,843.28
 A. & N. Islands,Agriculture,0.7
 Chandigarh,Agriculture,1.35
 D. & N.Haveli,Agriculture,9.2
 Daman & Diu,Agriculture,2.47
 Delhi,Agriculture,52.77
 Puducherry ,Agriculture,73.48
 Andhra Pradesh,Public water works & sewage pumping,809.38
 Arunachal Pradesh,Public water works & sewage pumping,12.0
 Assam,Public water works & sewage pumping,39.04
 Bihar,Public water works & sewage pumping,150.03
 Chhattisgarh,Public water works & sewage pumping,106.66
 Goa,Public water works & sewage pumping,127.11
 Gujarat,Public water works & sewage pumping,1064.8
 Haryana,Public water works & sewage pumping,467.19
 Himachal Pradesh,Public water works & sewage pumping,368.05
 Jammu & Kashmir,Public water works & sewage pumping,460.23
 Jharkhand ,Public water works & sewage pumping,67.62
 Karnataka,Public water works & sewage pumping,1576.71
 Kerala,Public water works & sewage pumping,70.51
 Madhya Pradesh,Public water works & sewage pumping,565.76
 Maharashtra,Public water works & sewage pumping,1765.14
 Manipur,Public water works & sewage pumping,9.54
 Meghalaya,Public water works & sewage pumping,29.73
 Mizoram,Public water works & sewage pumping,25.25
 Nagaland,Public water works & sewage pumping,2.2
 Orissa,Public water works & sewage pumping,150.83
