Year,Sector,Consumption,Growth_Pct,Is_Churn,Churn_Status
 2007-08,Total sold to ultimate  consumers,501977.11,10.14345478768146,0,Growing
 2008-09,Total sold to ultimate  consumers,527563.97,5.097216484632128,0,Growing
 2000-01,Traction,8213.46,0.0,0,Growing
 2001-02,Traction,8105.65,-1.3126015102039812,1,Declining
 2002-03,Traction,8796.91,8.528125443363589,0,Growing
 2003-04,Traction,9210.11,4.697103869426877,0,Growing
 2004-05,Traction,9495.33,3.0968142617189054,0,Growing
 2005-06,Traction,9943.89,4.724006432635819,0,Growing
 2006-07,Traction,10800.01,8.609507949102424,0,Growing
 2007-08,Traction,11108.34,2.854904763977073,0,Growing
 2008-09,Traction,11808.36,6.301751656863219,0,Growing
